Price,Close,High,Low,Open,Volume
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC
Date,,,,,
1995-02-02,472.7900085449219,472.7900085449219,469.95001220703125,470.3999938964844,322110000
1995-02-03,478.6499938964844,479.9100036621094,472.7799987792969,472.7799987792969,441000000
1995-02-06,481.1400146484375,481.95001220703125,478.3599853515625,478.6400146484375,325660000
1995-02-07,480.80999755859375,481.32000732421875,479.69000244140625,481.1400146484375,314660000
1995-02-08,481.19000244140625,482.6000061035156,480.3999938964844,480.80999755859375,318430000
1995-02-09,480.19000244140625,482.0,479.9100036621094,481.19000244140625,325570000
1995-02-10,481.4599914550781,481.9599914550781,479.5299987792969,480.19000244140625,295600000
1995-02-13,481.6499938964844,482.8599853515625,481.07000732421875,481.4599914550781,256270000
1995-02-14,482.54998779296875,482.94000244140625,480.8900146484375,481.6499938964844,300720000
1995-02-15,484.5400085449219,485.5400085449219,481.7699890136719,482.54998779296875,378040000
1995-02-16,485.2200012207031,485.2200012207031,483.04998779296875,484.55999755859375,360990000
1995-02-17,481.9700012207031,485.2200012207031,481.9700012207031,485.1499938964844,347970000
1995-02-21,482.7200012207031,483.260009765625,481.94000244140625,481.95001220703125,308090000
1995-02-22,485.07000732421875,486.1499938964844,482.45001220703125,482.739990234375,339460000
1995-02-23,486.9100036621094,489.19000244140625,485.07000732421875,485.07000732421875,394280000
1995-02-24,488.1099853515625,488.2799987792969,485.70001220703125,486.82000732421875,302930000
1995-02-27,483.80999755859375,488.260009765625,483.17999267578125,488.260009765625,285790000
1995-02-28,487.3900146484375,487.44000244140625,483.7699890136719,483.80999755859375,317220000
1995-03-01,485.6499938964844,487.8299865722656,484.9200134277344,487.3900146484375,362600000
1995-03-02,485.1300048828125,485.7099914550781,483.19000244140625,485.6499938964844,330030000
1995-03-03,485.4200134277344,485.4200134277344,483.07000732421875,485.1300048828125,330840000
1995-03-06,485.6300048828125,485.70001220703125,481.5199890136719,485.4200134277344,298870000
1995-03-07,482.1199951171875,485.6300048828125,479.70001220703125,485.6300048828125,355550000
1995-03-08,483.1400146484375,484.0799865722656,481.57000732421875,482.1199951171875,349780000
1995-03-09,483.1600036621094,483.739990234375,482.04998779296875,483.1400146484375,319320000
1995-03-10,489.57000732421875,490.3699951171875,483.1600036621094,483.1600036621094,382940000
1995-03-13,490.04998779296875,491.2799987792969,489.3500061035156,489.57000732421875,275280000
1995-03-14,492.8900146484375,493.69000244140625,490.04998779296875,490.04998779296875,346160000
1995-03-15,491.8800048828125,492.8900146484375,490.8299865722656,492.8900146484375,309540000
1995-03-16,495.4100036621094,495.739990234375,491.7799987792969,491.8699951171875,336670000
1995-03-17,495.5199890136719,496.6700134277344,494.95001220703125,495.42999267578125,417380000
1995-03-20,496.1400146484375,496.6099853515625,495.2699890136719,495.5199890136719,301740000
1995-03-21,495.07000732421875,499.19000244140625,494.0400085449219,496.1499938964844,367110000
1995-03-22,495.6700134277344,495.6700134277344,493.6700134277344,495.07000732421875,313120000
1995-03-23,495.95001220703125,496.7699890136719,494.19000244140625,495.6700134277344,318530000
1995-03-24,500.9700012207031,500.9700012207031,496.07000732421875,496.07000732421875,358370000
1995-03-27,503.20001220703125,503.20001220703125,500.92999267578125,500.9700012207031,296270000
1995-03-28,503.8999938964844,503.9100036621094,501.8299865722656,503.19000244140625,320360000
1995-03-29,503.1199951171875,508.1499938964844,500.9599914550781,503.9200134277344,385940000
