,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2016-08-16,80960,64787,10450,6902,66471,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1121.800048828125,0.7357831027667984,-59569,0.9275218550437101,54337,-1.9988839977679955,0.015564308396821719,0.021425628347754428,-0.030004281168936497,-0.01158851794807847,0.503587713448383
2016-08-23,81801,65203,10934,7203,66257,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1108.800048828125,0.7219227148812362,-59054,0.6361166007905138,54269,-0.08399209486166008,0.007010618023414103,0.011820796721699042,-0.01158851794807847,-0.04960317241880419,0.5110168419561923
2016-08-30,79543,60231,11619,8668,61992,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1053.800048828125,0.6703795431401883,-53324,7.004804342245205,48612,-6.915563379420789,0.08109255590150014,0.07873347251217815,-0.04960317241880419,0.043841287750225,0.5167356598112519
2016-09-06,77629,56363,11302,9944,60831,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1100.0,0.6555153357636966,-50887,3.0637516814804573,45061,-4.464252039777227,0.03443306252207701,0.061848814010197296,0.043841287750225,-0.05963634144176133,0.5219121969658094
2016-09-13,76199,54288,13233,10853,56236,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1034.4000244140625,0.5955852439008386,-45383,7.090133841734403,41055,-5.160442618093754,0.08204027485876969,0.059329690022363414,-0.05963634144176133,-0.0037703251372906976,0.5270972020628023
2016-09-20,74671,52330,14028,10743,53378,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1030.5,0.5709713275568828,-42635,3.60634653998084,38302,-3.612908305883279,0.04628748771853215,0.04148708520449682,-0.0037703251372906976,-0.005531248104682196,0.5320951992496196
2016-09-27,70394,51154,13897,8625,50751,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,1024.800048828125,0.5984316845185669,-42126,0.6816568681281889,37257,-1.399472352050997,0.07991444354621396,0.02009192787197737,-0.005531248104682196,-0.03912962013121368,0.5381221366469747
2016-10-04,69695,50973,17909,9813,47200,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,984.7000122070312,0.5364373340985723,-37387,6.73210785010086,33064,-5.956473563087763,0.0831213933664252,0.060872216253883456,-0.03912962013121368,-0.03950444189279023,0.5426250378914292
2016-10-11,69710,48923,22645,11696,42161,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,945.7999877929688,0.4370248170994118,-30465,9.931845899992826,26278,-9.7367099504986,0.12852553985554338,0.09481891348088531,-0.03950444189279023,-0.0029604438878272354,0.5433080258262074
2016-10-18,69494,48218,26781,11848,37868,076651,PLATINUM - NEW YORK MERCANTILE EXCHANGE,943.0,0.37442081330762367,-26020,6.376416582986659,21437,-6.944484292067135,0.08940783651138466,0.064547527300364,-0.0029604438878272354,0.020042443705262425,0.5417162348621978
