,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2016-06-14,399567,124339,44130,161712,249738,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,32.52000045776367,0.22030347851549303,-88026,-4.895682557373977,80209,4.825159478326483,0.04825373678454247,0.11615193299657504,0.0071229339026042116,-0.0356703515093334,0.16965723225549523,-0.0014151742396761205
2016-06-21,382744,112971,50518,167982,235581,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.36000061035156,0.1766167464414857,-67599,5.112284047481399,62453,-4.44381042478483,0.05061663234736584,0.10860669525166831,-0.0356703515093334,-0.00797193862035439,0.16983459924882147,0.0040742008109279255
2016-06-28,366438,94067,57930,173343,214354,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.11000061035156,0.11191797793896921,-41011,6.9466797650649,36137,-6.875613987417177,0.06857932870256928,0.17313499608544905,-0.00797193862035439,-0.009321790737311764,0.1678891568313253,-0.005452018576451374
2016-07-05,360876,93314,70503,177764,199592,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.81999969482422,0.060486150367439234,-21828,5.234992004104378,22811,-3.6366315720531164,0.05083528551288438,0.0813468687620943,-0.009321790737311764,-0.003569130805995302,0.16608264190548294,-0.011526461903911647
2016-07-12,352474,92919,71985,182118,203815,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.709999084472656,0.06155631337346868,-21697,0.03630055753222714,20934,-0.520123255633514,0.02222406479881223,0.01138238005142386,-0.003569130805995302,-0.0016281093634361588,0.1637723728955322,-0.014234129176711312
2016-07-19,361237,95120,74174,184985,206266,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.65999984741211,0.05891146255782215,-21281,0.11802288963157566,20946,0.0034045064316800674,0.01359229752767405,0.02593122024407244,-0.0016281093634361588,-0.03587737726497653,0.1618830500473005,-0.00563860950349842
2016-07-26,363801,94986,78641,182905,200400,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,29.559999465942383,0.04808947748906683,-17495,1.0480653975091145,16345,-1.2736790528102049,0.020730227886408995,0.026499334780880852,-0.03587737726497653,0.016914749967302134,0.16130801407815373,-0.012679143742080047
2016-08-02,358148,95866,76371,174552,194260,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,30.059999465942383,0.05502753051810983,-19708,-0.6082995923595592,19495,0.8658579827982882,0.03929644371658189,0.018288753287621126,0.016914749967302134,0.036926168665078585,0.16146728940298022,-0.006058281249400211
2016-08-09,359540,96993,63217,167652,205672,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,31.170000076293945,0.10574623129554431,-38020,-5.1129700570713785,33776,3.9874576990517885,0.049051226280657015,0.08913925472816928,0.036926168665078585,0.07090153950631795,0.16252612909478767,0.0040755416869808925
2016-08-16,375482,101125,46138,162136,226872,007601,SOYBEAN OIL - CHICAGO BOARD OF TRADE,33.380001068115234,0.17240773192856115,-64736,-7.430605774044613,54987,5.899482672303499,0.06867725085345289,0.14403482205306153,0.07090153950631795,0.015278559173575124,0.16525564115990415,0.021973084089418858
