,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CL_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w,Basis
2016-02-02,1855603,545820,348947,628739,834525,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",29.8799991607666,0.11089979914884811,-205786,0.18525634222022688,196873,-0.5015656544730837,0.04188991186826164,0.05929700134224888,-0.049920558476517884,-0.06492632801865217,0.15208661440967963,-0.04177193587461837
2016-02-09,1854379,544800,356923,622695,823581,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",27.940000534057617,0.10833060555582219,-200886,0.2640651044431379,187877,-0.4848019754225446,0.01174602911200905,0.009976456184438015,-0.06492632801865217,0.039370091640795524,0.15110188315840622,-0.01888549608252079
2016-02-16,1840051,517940,358953,639559,808554,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",29.040000915527344,0.09184256305939346,-168995,1.7197671026257306,158987,-1.5579339498559897,0.022022452667713088,0.03294586682753768,0.039370091640795524,0.09745178493410056,0.1494925973562434,0.00736853565369132
2016-02-23,1776696,533268,327412,601482,814711,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",31.8700008392334,0.12001434122663641,-213229,-2.4039551077660346,205856,2.5471576603039807,0.031234443327992724,0.054455779151368684,0.09745178493410056,0.07938502102362555,0.14862083158192665,0.005478711931705006
2016-03-01,1800298,529761,317243,607281,820159,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",34.400001525878906,0.11824597927676418,-212878,0.019755771386888922,212518,0.374965666608131,0.007879140279101048,0.01614632280367035,0.07938502102362555,0.061046464563127456,0.14781405609403872,0.037122496507582925
2016-03-08,1816474,535589,291337,612412,853501,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",36.5,0.132723617293724,-241089,-1.567018349184413,244252,1.7627081738689927,0.026245077299948905,0.03837586434578185,0.061046464563127456,-0.004383557463345511,0.14733397104093335,0.06701670465926837
2016-03-15,1782857,544416,274560,581508,849245,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",36.34000015258789,0.15017300882796544,-267737,-1.4670179699792014,269856,1.4095439846647957,0.024574472323315066,0.03126343140702536,-0.004383557463345511,0.14061641686558057,0.14747900308567943,0.05673464520127944
2016-03-22,1705631,527838,219861,552733,849662,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",41.45000076293945,0.17408747847570782,-296929,-1.6373719260714685,307977,2.1381972867145262,0.02081581865308989,0.09532846773902333,0.14061641686558057,-0.07647773040517969,0.14860784971627852,0.06687898596854498
2016-03-29,1734511,534637,229126,559331,864381,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",38.279998779296875,0.1758708938715292,-305050,-0.47612877580203455,305511,-0.14457992379359896,0.014972831583915849,0.0210327025530171,-0.07647773040517969,-0.062434677791605164,0.1494885613126295,0.0297533448606355
2016-04-05,1773774,541716,251586,573780,861607,067651,"CRUDE OIL, LIGHT SWEET - NEW YORK MERCANTILE EXCHANGE",35.88999938964844,0.16226813562494433,-287827,0.992959975462825,290130,-0.8867628974391053,0.011998854664282176,0.037235504259411925,-0.062434677791605164,0.17497907177753214,0.1499200439083649,-0.0006701116733210009
